date,order_id,client,department,equipment_id,operator_id,product_type,units_produced,defect_count,redo_count,scrap_count,inspection_result,shift,line_id
2024-01-01,ORD-20240001,Titan Works,Painting,EQ-012,OP-014,Type-D,161,10,1,5,Fail,Morning,Line-2
2024-01-01,ORD-20240002,Titan Works,Machining,EQ-005,OP-004,Type-C,94,2,3,0,Pass,Morning,Line-4
2024-01-01,ORD-20240003,Quantum Parts,Assembly,EQ-001,OP-006,Type-B,130,2,2,0,Conditional,Morning,Line-1
2024-01-02,ORD-20240004,Orion Systems,Assembly,EQ-002,OP-019,Type-D,92,2,6,0,Pass,Morning,Line-2
2024-01-02,ORD-20240005,Titan Works,Assembly,EQ-008,OP-006,Type-A,162,3,1,2,Conditional,Afternoon,Line-3
2024-01-02,ORD-20240006,Orion Systems,Assembly,EQ-003,OP-002,Type-C,128,5,0,0,Pass,Morning,Line-2
2024-01-04,ORD-20240007,Pacific Components,Assembly,EQ-010,OP-018,Type-A,149,2,6,1,Pass,Night,Line-4
2024-01-04,ORD-20240008,Titan Works,Welding,EQ-003,OP-013,Type-D,191,9,0,0,Fail,Afternoon,Line-3
2024-01-05,ORD-20240009,Delta Industries,Machining,EQ-008,OP-009,Type-C,135,3,2,0,Pass,Morning,Line-1
2024-01-05,ORD-20240010,Orion Systems,Painting,EQ-008,OP-023,Type-D,155,8,0,2,Fail,Night,Line-3
2024-01-05,ORD-20240011,Orion Systems,Painting,EQ-002,OP-019,Type-A,130,5,4,1,Conditional,Afternoon,Line-1
2024-01-08,ORD-20240012,Delta Industries,Painting,EQ-008,OP-013,Type-C,116,7,1,1,Fail,Night,Line-1
2024-01-09,ORD-20240013,Titan Works,Painting,EQ-011,OP-011,Type-A,96,15,1,5,Conditional,Morning,Line-2
2024-01-11,ORD-20240016,Delta Industries,Machining,EQ-008,OP-022,Type-A,169,2,1,1,Pass,Morning,Line-4
2024-01-11,ORD-20240015,Orion Systems,Quality Control,EQ-006,OP-024,Type-D,166,2,0,1,Pass,Morning,Line-2
2024-01-11,ORD-20240014,Delta Industries,Welding,EQ-001,OP-001,Type-D,137,7,2,0,Conditional,Morning,Line-2
2024-01-12,ORD-20240017,Orion Systems,Assembly,EQ-003,OP-007,Type-C,108,3,3,0,Pass,Afternoon,Line-4
2024-01-16,ORD-20240018,Orion Systems,Quality Control,EQ-008,OP-025,Type-A,112,1,2,0,Fail,Afternoon,Line-2
2024-01-16,ORD-20240019,Pacific Components,Painting,EQ-012,OP-021,Type-D,139,6,2,4,Pass,Night,Line-4
2024-01-17,ORD-20240020,Acme Corp,Quality Control,EQ-001,OP-015,Type-A,170,2,1,1,Pass,Morning,Line-3
2024-01-17,ORD-20240021,Orion Systems,Machining,EQ-011,OP-001,Type-D,168,13,1,1,Conditional,Night,Line-3
2024-01-17,ORD-20240022,Titan Works,Assembly,EQ-011,OP-012,Type-A,199,5,0,0,Fail,Afternoon,Line-4
2024-01-18,ORD-20240023,Nexus Manufacturing,Assembly,EQ-009,OP-007,Type-C,134,4,0,0,Conditional,Morning,Line-4
2024-01-18,ORD-20240024,Quantum Parts,Machining,EQ-011,OP-015,Type-C,89,3,0,0,Fail,Morning,Line-3
2024-01-19,ORD-20240025,Stellar Fabrication,Machining,EQ-009,OP-021,Type-A,126,1,2,0,Pass,Afternoon,Line-1
2024-01-19,ORD-20240026,Acme Corp,Painting,EQ-005,OP-019,Type-A,102,1,0,1,Pass,Afternoon,Line-3
2024-01-22,ORD-20240027,Acme Corp,Assembly,EQ-010,OP-025,Type-C,164,2,7,0,Pass,Afternoon,Line-3
2024-01-23,ORD-20240028,Acme Corp,Quality Control,EQ-004,OP-001,Type-D,100,0,1,0,Pass,Afternoon,Line-4
2024-01-24,ORD-20240029,Pacific Components,Welding,EQ-011,OP-017,Type-C,186,8,3,0,Conditional,Afternoon,Line-3
2024-01-25,ORD-20240031,Pacific Components,Machining,EQ-012,OP-003,Type-A,180,4,5,0,Conditional,Afternoon,Line-4
2024-01-25,ORD-20240030,Orion Systems,Welding,EQ-006,OP-017,Type-D,92,2,1,0,Pass,Morning,Line-4
2024-01-26,ORD-20240032,Orion Systems,Painting,EQ-007,OP-012,Type-A,112,12,0,4,Fail,Morning,Line-2
2024-01-26,ORD-20240033,Titan Works,Welding,EQ-005,OP-006,Type-D,103,5,2,0,Conditional,Morning,Line-3
2024-01-29,ORD-20240034,Pacific Components,Assembly,EQ-011,OP-011,Type-A,187,7,1,0,Conditional,Afternoon,Line-1
2024-01-29,ORD-20240035,Pacific Components,Machining,EQ-010,OP-003,Type-D,90,4,5,1,Pass,Afternoon,Line-2
2024-01-30,ORD-20240036,Quantum Parts,Quality Control,EQ-009,OP-008,Type-B,96,2,2,0,Conditional,Morning,Line-4
2024-01-30,ORD-20240037,Nexus Manufacturing,Machining,EQ-003,OP-014,Type-C,147,2,1,0,Pass,Afternoon,Line-4
2024-01-31,ORD-20240038,Pacific Components,Quality Control,EQ-007,OP-014,Type-B,126,8,2,0,Conditional,Afternoon,Line-1
2024-02-02,ORD-20240039,Quantum Parts,Machining,EQ-010,OP-010,Type-D,104,3,1,0,Conditional,Afternoon,Line-4
2024-02-05,ORD-20240040,Delta Industries,Machining,EQ-010,OP-002,Type-C,173,6,4,1,Conditional,Night,Line-3
2024-02-06,ORD-20240041,Nexus Manufacturing,Machining,EQ-011,OP-014,Type-D,152,1,2,1,Pass,Morning,Line-2
2024-02-07,ORD-20240042,Titan Works,Quality Control,EQ-005,OP-009,Type-C,100,2,1,1,Fail,Night,Line-4
2024-02-07,ORD-20240043,Pacific Components,Quality Control,EQ-007,OP-003,Type-C,163,7,2,0,Conditional,Afternoon,Line-4
2024-02-08,ORD-20240045,Acme Corp,Welding,EQ-004,OP-008,Type-C,162,6,0,0,Conditional,Afternoon,Line-3
2024-02-08,ORD-20240044,Stellar Fabrication,Machining,EQ-002,OP-021,Type-C,162,8,2,0,Conditional,Night,Line-1
2024-02-14,ORD-20240048,Titan Works,Painting,EQ-007,OP-006,Type-C,121,10,0,2,Fail,Night,Line-4
2024-02-14,ORD-20240046,Delta Industries,Painting,EQ-002,OP-016,Type-D,91,8,2,5,Conditional,Night,Line-4
2024-02-14,ORD-20240047,Delta Industries,Painting,EQ-012,OP-002,Type-C,116,10,1,3,Fail,Afternoon,Line-1
2024-02-16,ORD-20240049,Quantum Parts,Quality Control,EQ-002,OP-021,Type-B,96,8,2,0,Fail,Night,Line-1
2024-02-16,ORD-20240050,Delta Industries,Quality Control,EQ-011,OP-025,Type-A,180,6,2,2,Pass,Night,Line-1
2024-02-16,ORD-20240051,Nexus Manufacturing,Welding,EQ-001,OP-012,Type-A,197,4,0,0,Conditional,Morning,Line-3
2024-02-16,ORD-20240052,Pacific Components,Painting,EQ-009,OP-005,Type-B,127,7,0,2,Pass,Night,Line-4
2024-02-19,ORD-20240053,Pacific Components,Painting,EQ-001,OP-002,Type-B,182,3,1,2,Pass,Morning,Line-3
2024-02-19,ORD-20240054,Stellar Fabrication,Machining,EQ-008,OP-016,Type-D,107,4,1,0,Conditional,Afternoon,Line-1
2024-02-19,ORD-20240055,Titan Works,Quality Control,EQ-002,OP-005,Type-D,120,4,3,1,Pass,Night,Line-2
2024-02-20,ORD-20240058,Acme Corp,Welding,EQ-003,OP-004,Type-B,191,6,1,0,Pass,Night,Line-4
2024-02-20,ORD-20240056,Acme Corp,Painting,EQ-012,OP-015,Type-D,178,5,2,1,Conditional,Afternoon,Line-4
2024-02-20,ORD-20240057,Quantum Parts,Welding,EQ-008,OP-012,Type-B,126,7,2,0,Pass,Afternoon,Line-2
2024-02-21,ORD-20240059,Delta Industries,Painting,EQ-006,OP-015,Type-C,97,8,2,1,Conditional,Morning,Line-3
2024-02-22,ORD-20240064,Pacific Components,Assembly,EQ-002,OP-014,Type-C,150,3,1,0,Conditional,Morning,Line-2
2024-02-22,ORD-20240063,Nexus Manufacturing,Welding,EQ-009,OP-006,Type-A,184,5,4,1,Pass,Night,Line-3
2024-02-22,ORD-20240062,Acme Corp,Machining,EQ-010,OP-023,Type-D,187,2,0,0,Pass,Afternoon,Line-3
2024-02-22,ORD-20240061,Stellar Fabrication,Welding,EQ-007,OP-016,Type-D,178,8,1,0,Conditional,Afternoon,Line-3
2024-02-22,ORD-20240060,Titan Works,Quality Control,EQ-003,OP-011,Type-D,157,3,0,1,Pass,Night,Line-3
2024-02-26,ORD-20240065,Delta Industries,Assembly,EQ-012,OP-018,Type-D,184,5,4,0,Conditional,Morning,Line-3
2024-02-26,ORD-20240066,Stellar Fabrication,Quality Control,EQ-012,OP-012,Type-D,92,3,2,1,Fail,Afternoon,Line-1
2024-02-27,ORD-20240067,Acme Corp,Painting,EQ-005,OP-011,Type-D,161,4,2,0,Pass,Afternoon,Line-1
2024-02-27,ORD-20240068,Quantum Parts,Quality Control,EQ-006,OP-013,Type-A,180,1,1,0,Pass,Morning,Line-2
2024-02-28,ORD-20240069,Nexus Manufacturing,Quality Control,EQ-004,OP-021,Type-A,92,8,0,0,Conditional,Night,Line-4
2024-02-29,ORD-20240070,Nexus Manufacturing,Quality Control,EQ-004,OP-023,Type-B,179,3,1,1,Conditional,Afternoon,Line-1
2024-02-29,ORD-20240071,Acme Corp,Quality Control,EQ-004,OP-011,Type-C,110,2,1,0,Pass,Morning,Line-4
2024-02-29,ORD-20240072,Pacific Components,Machining,EQ-002,OP-023,Type-B,81,1,1,0,Pass,Afternoon,Line-2
2024-02-29,ORD-20240073,Acme Corp,Machining,EQ-004,OP-016,Type-C,95,1,3,0,Pass,Night,Line-4
2024-03-01,ORD-20240074,Delta Industries,Welding,EQ-011,OP-015,Type-A,88,7,2,0,Conditional,Morning,Line-4
2024-03-04,ORD-20240075,Acme Corp,Assembly,EQ-001,OP-021,Type-D,152,3,3,1,Pass,Afternoon,Line-4
2024-03-05,ORD-20240078,Acme Corp,Assembly,EQ-001,OP-004,Type-B,133,5,3,0,Conditional,Night,Line-1
2024-03-05,ORD-20240077,Stellar Fabrication,Welding,EQ-006,OP-025,Type-D,154,6,1,1,Conditional,Afternoon,Line-2
2024-03-05,ORD-20240076,Nexus Manufacturing,Quality Control,EQ-012,OP-015,Type-B,117,4,1,0,Conditional,Night,Line-4
2024-03-06,ORD-20240079,Pacific Components,Painting,EQ-010,OP-011,Type-A,135,9,0,3,Fail,Night,Line-3
2024-03-06,ORD-20240080,Titan Works,Machining,EQ-006,OP-019,Type-A,165,5,2,1,Conditional,Morning,Line-4
2024-03-07,ORD-20240081,Stellar Fabrication,Assembly,EQ-001,OP-015,Type-A,176,5,1,0,Conditional,Night,Line-1
2024-03-07,ORD-20240082,Quantum Parts,Painting,EQ-006,OP-004,Type-B,179,2,1,0,Conditional,Afternoon,Line-1
2024-03-08,ORD-20240083,Orion Systems,Assembly,EQ-010,OP-021,Type-C,188,6,2,0,Pass,Night,Line-2
2024-03-11,ORD-20240084,Acme Corp,Machining,EQ-008,OP-013,Type-B,166,3,2,1,Conditional,Night,Line-1
2024-03-11,ORD-20240085,Pacific Components,Machining,EQ-011,OP-022,Type-C,124,4,0,0,Fail,Morning,Line-2
2024-03-11,ORD-20240086,Stellar Fabrication,Welding,EQ-002,OP-019,Type-B,188,10,0,1,Fail,Night,Line-4
2024-03-12,ORD-20240087,Pacific Components,Quality Control,EQ-002,OP-002,Type-B,113,2,3,0,Pass,Night,Line-4
2024-03-12,ORD-20240088,Quantum Parts,Assembly,EQ-012,OP-014,Type-A,88,2,1,0,Pass,Afternoon,Line-3
2024-03-12,ORD-20240089,Nexus Manufacturing,Assembly,EQ-004,OP-004,Type-D,167,6,0,0,Pass,Morning,Line-3
2024-03-13,ORD-20240094,Pacific Components,Assembly,EQ-007,OP-015,Type-B,82,7,1,0,Conditional,Night,Line-3
2024-03-13,ORD-20240092,Pacific Components,Assembly,EQ-004,OP-020,Type-D,115,2,1,0,Pass,Night,Line-4
2024-03-13,ORD-20240093,Pacific Components,Machining,EQ-012,OP-014,Type-B,97,5,3,0,Conditional,Morning,Line-2
2024-03-13,ORD-20240090,Pacific Components,Painting,EQ-011,OP-016,Type-D,87,8,1,4,Fail,Morning,Line-3
2024-03-13,ORD-20240091,Stellar Fabrication,Machining,EQ-003,OP-021,Type-C,86,3,0,0,Conditional,Morning,Line-1
2024-03-14,ORD-20240095,Delta Industries,Welding,EQ-011,OP-003,Type-A,107,9,3,0,Conditional,Night,Line-2
2024-03-14,ORD-20240096,Delta Industries,Quality Control,EQ-001,OP-008,Type-A,149,6,1,0,Conditional,Afternoon,Line-2
2024-03-14,ORD-20240097,Nexus Manufacturing,Assembly,EQ-006,OP-016,Type-D,187,2,0,0,Pass,Afternoon,Line-3
2024-03-14,ORD-20240098,Acme Corp,Machining,EQ-003,OP-010,Type-C,123,2,3,0,Pass,Afternoon,Line-4
2024-03-14,ORD-20240099,Pacific Components,Welding,EQ-011,OP-004,Type-D,100,5,2,2,Pass,Afternoon,Line-3
2024-03-14,ORD-20240100,Quantum Parts,Assembly,EQ-010,OP-018,Type-D,107,4,0,0,Conditional,Afternoon,Line-2
2024-03-15,ORD-20240101,Acme Corp,Painting,EQ-007,OP-002,Type-D,183,11,3,0,Fail,Night,Line-3
2024-03-19,ORD-20240102,Quantum Parts,Quality Control,EQ-010,OP-017,Type-D,133,4,2,1,Conditional,Night,Line-2
2024-03-20,ORD-20240108,Quantum Parts,Painting,EQ-009,OP-012,Type-D,178,4,1,5,Conditional,Afternoon,Line-2
2024-03-20,ORD-20240106,Pacific Components,Welding,EQ-001,OP-011,Type-C,100,5,1,0,Conditional,Afternoon,Line-3
2024-03-20,ORD-20240107,Orion Systems,Welding,EQ-003,OP-007,Type-A,186,8,0,0,Fail,Night,Line-1
2024-03-20,ORD-20240104,Nexus Manufacturing,Welding,EQ-002,OP-004,Type-C,144,3,1,1,Conditional,Night,Line-3
2024-03-20,ORD-20240103,Acme Corp,Assembly,EQ-002,OP-013,Type-B,133,2,0,0,Pass,Morning,Line-2
2024-03-20,ORD-20240105,Pacific Components,Painting,EQ-004,OP-025,Type-B,179,7,5,2,Conditional,Night,Line-1
2024-03-21,ORD-20240109,Acme Corp,Welding,EQ-007,OP-010,Type-B,92,6,1,0,Conditional,Morning,Line-2
2024-03-22,ORD-20240110,Acme Corp,Painting,EQ-007,OP-007,Type-C,136,9,2,2,Pass,Morning,Line-1
2024-03-22,ORD-20240111,Titan Works,Assembly,EQ-011,OP-013,Type-A,128,7,1,0,Conditional,Night,Line-2
2024-03-26,ORD-20240112,Titan Works,Painting,EQ-004,OP-007,Type-A,197,13,2,1,Conditional,Morning,Line-1
2024-03-26,ORD-20240113,Delta Industries,Painting,EQ-002,OP-024,Type-D,133,9,1,2,Fail,Night,Line-1
2024-03-26,ORD-20240114,Orion Systems,Quality Control,EQ-004,OP-017,Type-C,89,3,3,0,Pass,Morning,Line-2
2024-03-27,ORD-20240115,Stellar Fabrication,Painting,EQ-006,OP-010,Type-B,132,5,0,0,Pass,Afternoon,Line-4
2024-03-27,ORD-20240116,Titan Works,Painting,EQ-011,OP-010,Type-D,123,12,1,4,Fail,Afternoon,Line-1
2024-03-27,ORD-20240117,Stellar Fabrication,Assembly,EQ-011,OP-024,Type-B,126,7,0,1,Fail,Afternoon,Line-3
2024-03-29,ORD-20240118,Delta Industries,Quality Control,EQ-003,OP-004,Type-A,132,2,1,0,Pass,Afternoon,Line-3
2024-03-29,ORD-20240119,Delta Industries,Machining,EQ-001,OP-020,Type-B,153,2,4,0,Pass,Night,Line-2
2024-04-01,ORD-20240120,Delta Industries,Assembly,EQ-012,OP-004,Type-B,125,0,1,1,Conditional,Morning,Line-4
2024-04-03,ORD-20240121,Quantum Parts,Assembly,EQ-008,OP-022,Type-D,92,3,1,1,Conditional,Night,Line-2
2024-04-04,ORD-20240123,Nexus Manufacturing,Painting,EQ-005,OP-022,Type-D,181,5,3,4,Conditional,Night,Line-1
2024-04-04,ORD-20240122,Quantum Parts,Machining,EQ-012,OP-007,Type-B,116,6,0,2,Conditional,Afternoon,Line-4
2024-04-04,ORD-20240124,Nexus Manufacturing,Welding,EQ-005,OP-001,Type-A,103,5,2,0,Pass,Morning,Line-1
2024-04-05,ORD-20240125,Delta Industries,Quality Control,EQ-011,OP-012,Type-D,81,12,0,0,Fail,Night,Line-1
2024-04-09,ORD-20240126,Orion Systems,Welding,EQ-004,OP-024,Type-D,165,0,2,0,Pass,Morning,Line-1
2024-04-11,ORD-20240127,Acme Corp,Machining,EQ-006,OP-013,Type-C,160,6,0,1,Fail,Night,Line-3
2024-04-12,ORD-20240128,Quantum Parts,Assembly,EQ-003,OP-010,Type-B,179,1,0,0,Fail,Morning,Line-3
2024-04-12,ORD-20240129,Orion Systems,Assembly,EQ-009,OP-015,Type-A,93,1,2,0,Pass,Morning,Line-2
2024-04-15,ORD-20240130,Pacific Components,Quality Control,EQ-005,OP-013,Type-D,89,3,2,0,Conditional,Afternoon,Line-4
2024-04-15,ORD-20240131,Quantum Parts,Assembly,EQ-003,OP-023,Type-A,114,3,0,0,Conditional,Morning,Line-1
2024-04-15,ORD-20240132,Quantum Parts,Assembly,EQ-011,OP-022,Type-C,104,6,2,0,Pass,Afternoon,Line-1
2024-04-19,ORD-20240133,Nexus Manufacturing,Quality Control,EQ-001,OP-022,Type-B,82,3,3,1,Conditional,Afternoon,Line-4
2024-04-22,ORD-20240134,Acme Corp,Quality Control,EQ-010,OP-021,Type-D,190,2,1,1,Pass,Afternoon,Line-4
2024-04-22,ORD-20240135,Acme Corp,Machining,EQ-012,OP-022,Type-B,181,5,1,1,Pass,Night,Line-2
2024-04-22,ORD-20240136,Titan Works,Assembly,EQ-006,OP-009,Type-C,96,7,1,0,Conditional,Night,Line-4
2024-04-25,ORD-20240137,Stellar Fabrication,Assembly,EQ-002,OP-009,Type-C,91,8,2,0,Fail,Night,Line-1
2024-04-29,ORD-20240138,Stellar Fabrication,Machining,EQ-003,OP-015,Type-A,133,3,2,0,Conditional,Night,Line-1
2024-04-29,ORD-20240139,Stellar Fabrication,Painting,EQ-001,OP-010,Type-D,195,8,2,0,Pass,Morning,Line-1
2024-05-01,ORD-20240140,Stellar Fabrication,Painting,EQ-009,OP-024,Type-A,103,7,2,1,Pass,Morning,Line-1
2024-05-02,ORD-20240141,Pacific Components,Painting,EQ-008,OP-025,Type-C,108,10,2,2,Fail,Night,Line-1
2024-05-02,ORD-20240142,Pacific Components,Machining,EQ-012,OP-010,Type-B,122,1,2,1,Pass,Morning,Line-2
2024-05-03,ORD-20240143,Quantum Parts,Assembly,EQ-002,OP-008,Type-A,104,7,0,0,Conditional,Morning,Line-1
2024-05-03,ORD-20240144,Delta Industries,Machining,EQ-012,OP-024,Type-A,179,2,1,1,Fail,Afternoon,Line-2
2024-05-06,ORD-20240145,Nexus Manufacturing,Machining,EQ-011,OP-016,Type-B,139,8,3,1,Conditional,Afternoon,Line-1
2024-05-07,ORD-20240146,Nexus Manufacturing,Painting,EQ-008,OP-017,Type-A,169,7,1,3,Conditional,Afternoon,Line-3
2024-05-07,ORD-20240147,Stellar Fabrication,Welding,EQ-012,OP-005,Type-B,181,4,3,0,Conditional,Afternoon,Line-3
2024-05-07,ORD-20240148,Quantum Parts,Assembly,EQ-009,OP-004,Type-D,144,9,0,0,Fail,Morning,Line-3
2024-05-08,ORD-20240149,Titan Works,Painting,EQ-001,OP-018,Type-B,163,6,5,1,Conditional,Night,Line-3
2024-05-09,ORD-20240150,Orion Systems,Welding,EQ-005,OP-024,Type-D,198,8,3,0,Fail,Morning,Line-2
2024-05-10,ORD-20240151,Delta Industries,Welding,EQ-008,OP-019,Type-B,107,3,2,1,Pass,Morning,Line-2
2024-05-10,ORD-20240152,Quantum Parts,Quality Control,EQ-011,OP-004,Type-C,95,7,0,0,Pass,Morning,Line-4
2024-05-13,ORD-20240157,Stellar Fabrication,Assembly,EQ-012,OP-019,Type-D,137,0,2,0,Fail,Morning,Line-1
2024-05-13,ORD-20240155,Delta Industries,Painting,EQ-007,OP-025,Type-D,183,5,3,2,Conditional,Afternoon,Line-2
2024-05-13,ORD-20240156,Quantum Parts,Quality Control,EQ-003,OP-018,Type-C,171,4,3,2,Conditional,Night,Line-1
2024-05-13,ORD-20240153,Delta Industries,Assembly,EQ-002,OP-007,Type-C,126,2,1,0,Conditional,Afternoon,Line-1
2024-05-13,ORD-20240154,Delta Industries,Welding,EQ-004,OP-010,Type-D,160,5,1,0,Fail,Afternoon,Line-3
2024-05-14,ORD-20240158,Nexus Manufacturing,Machining,EQ-005,OP-004,Type-B,155,4,0,0,Pass,Night,Line-2
2024-05-14,ORD-20240159,Nexus Manufacturing,Painting,EQ-008,OP-010,Type-B,106,7,1,3,Pass,Afternoon,Line-3
2024-05-15,ORD-20240160,Stellar Fabrication,Welding,EQ-012,OP-001,Type-C,197,8,1,0,Fail,Night,Line-4
2024-05-16,ORD-20240161,Delta Industries,Welding,EQ-010,OP-023,Type-A,132,10,1,0,Fail,Morning,Line-1
2024-05-16,ORD-20240162,Orion Systems,Painting,EQ-003,OP-018,Type-B,121,4,3,1,Conditional,Morning,Line-4
2024-05-16,ORD-20240163,Acme Corp,Welding,EQ-004,OP-005,Type-D,138,6,1,0,Conditional,Afternoon,Line-3
2024-05-16,ORD-20240164,Quantum Parts,Quality Control,EQ-009,OP-015,Type-A,126,2,0,0,Fail,Afternoon,Line-3
